# pitch accents for deck words, filtered from kanjium (github.com/mifunetoshiro/kanjium, CC BY-SA)
ああ	ああ	0
あしらう	あしらう	3
あたふた	あたふた	1
あっさり	あっさり	3
あどけない	あどけない	4
あの	あの	0
あのう	あのう	0
あべこべ	あべこべ	0
あわや	あわや	1
あわよくば	あわよくば	3
あんぐり	あんぐり	3
あんな	あんな	0
いじらしい	いじらしい	4
いそいそ	いそいそ	1
いっそ	いっそ	0
いみじくも	いみじくも	3
いやが上にも	いやがうえにも	5
いらっしゃいませ	いらっしゃいませ	6
うかうか	うかうか	1
うずうず	うずうず	1
うっかり	うっかり	3
うっとり	うっとり	3
うつらうつら	うつらうつら	4
うとうと	うとうと	1
うろうろ	うろうろ	1
うんざり	うんざり	3
ええ	ええ	1
ええと	ええと	0
おたおた	おたおた	1
おどおど	おどおど	1
おめおめ	おめおめ	1
おろおろ	おろおろ	1
お互い	おたがい	0
お兄さん	おにいさん	2
お姉さん	おねえさん	2
お手洗い	おてあらい	3
お母さん	おかあさん	2
お湯	おゆ	0
お父さん	おとうさん	2
お腹	おなか	0
お茶	おちゃ	0
お菓子	おかし	2
お金	おかね	0
お釣り	おつり	0
かき集める	かきあつめる	5
かんかん	かんかん	1
がたつく	がたつく	0
がっかり	がっかり	3
がっしり	がっしり	3
がっちり	がっちり	3
がみがみ	がみがみ	1
がやがや	がやがや	1
がんがん	がんがん	1
きちんと	きちんと	2
きっちり	きっちり	3
きっぱり	きっぱり	3
きつい	きつい	0
きまり悪い	きまりわるい	5
きょろきょろ	きょろきょろ	1
きらきら	きらきら	1
きりきり	きりきり	1
ぎこちない	ぎこちない	4
ぎっしり	ぎっしり	3
ぎょっと	ぎょっと	0
ぎりぎり	ぎりぎり	1
くすくす	くすくす	2
くっきり	くっきり	3
くどくど	くどくど	1
くよくよ	くよくよ	1
くるくる	くるくる	1
ぐっすり	ぐっすり	3
ぐったり	ぐったり	3
ぐらつく	ぐらつく	0
ぐるぐる	ぐるぐる	1
けたたましい	けたたましい	5
けれども	けれども	1
けろっと	けろっと	2
けろり	けろり	2
げっそり	げっそり	3
げらげら	げらげら	1
こそこそ	こそこそ	1
こそばゆい	こそばゆい	4
こっそり	こっそり	3
こってり	こってり	3
こつこつ	こつこつ	1
この際	このさい	3
これ	これ	1
こんな	こんな	0
こんもり	こんもり	3
ごっそり	ごっそり	3
ご飯	ごはん	1
さっぱり	さっぱり	3
さもしい	さもしい	3
ざあざあ	ざあざあ	1
ざっくり	ざっくり	3
ざわざわ	ざわざわ	1
ざわつく	ざわつく	0
しくしく	しくしく	2
しっちゃかめっちゃか	しっちゃかめっちゃか	5
しっとり	しっとり	3
しつこい	しつこい	3
しとしと	しとしと	2
しどろもどろ	しどろもどろ	4
しばしば	しばしば	1
しゃあしゃあ	しゃあしゃあ	3
しょんぼり	しょんぼり	3
しんみり	しんみり	3
じたばた	じたばた	1
じめじめ	じめじめ	1
じりじり	じりじり	1
じろじろ	じろじろ	1
じんわり	じんわり	3
すっかり	すっかり	3
すっきり	すっきり	3
すっぱり	すっぱり	3
すばしっこい	すばしっこい	5
すやすや	すやすや	1
すらすら	すらすら	1
すり替える	すりかえる	4
すると	すると	0
ずかずか	ずかずか	1
ずきずき	ずきずき	1
ずけずけ	ずけずけ	1
ずっと	ずっと	0
ずばり	ずばり	2
ずれる	ずれる	2
せかせか	せかせか	1
せき止める	せきとめる	4
せっせと	せっせと	1
せめて	せめて	1
そそくさ	そそくさ	1
そっと	そっと	0
その上	そのうえ	0
それ	それ	1
それにしても	それにしても	5
そろそろ	そろそろ	1
そわそわ	そわそわ	1
そんな	そんな	0
ぞくぞく	ぞくぞく	1
ぞっと	ぞっと	0
たった	たった	0
たっぷり	たっぷり	3
だから	だから	1
だが	だが	1
だらだら	だらだら	1
ちくちく	ちくちく	2
ちゃっかり	ちゃっかり	3
ちゃんと	ちゃんと	0
ちやほや	ちやほや	1
ちょっぴり	ちょっぴり	3
ちらちら	ちらちら	1
つい	つい	1
つかつか	つかつか	2
つと	つと	1
つべこべ	つべこべ	1
つれない	つれない	3
てきぱき	てきぱき	1
てくてく	てくてく	1
てっきり	てっきり	3
てんやわんや	てんやわんや	4
ですから	ですから	1
でっち上げる	でっちあげる	5
でも	でも	1
ときめく	ときめく	3
ともすると	ともすると	1
ともすれば	ともすれば	1
とんだ	とんだ	0
どう	どう	1
どうか	どうか	1
どうかすると	どうかすると	1
どうせ	どうせ	0
どうぞ	どうぞ	1
どうにか	どうにか	1
どうも	どうも	1
どうやら	どうやら	1
どきどき	どきどき	1
どっかり	どっかり	3
どっさり	どっさり	3
どっしり	どっしり	3
どんどん	どんどん	1
どんな	どんな	1
どんより	どんより	3
にこにこ	にこにこ	1
にっこり	にっこり	3
にも関わらず	にもかかわらず	1
にやにや	にやにや	1
ねちねち	ねちねち	1
ねっとり	ねっとり	3
のうのう	のうのう	3
のこのこ	のこのこ	1
のそのそ	のそのそ	1
のみならず	のみならず	1
のらりくらり	のらりくらり	2
のろのろ	のろのろ	1
のんびり	のんびり	3
はい	はい	1
はためく	はためく	3
はち切れる	はちきれる	4
はっきり	はっきり	3
はっと	はっと	1
はらはら	はらはら	1
ばっさり	ばっさり	3
ばっちり	ばっちり	3
ばらつく	ばらつく	0
ぱんぱん	ぱんぱん	0
ひけらかす	ひけらかす	4
ひそひそ	ひそひそ	2
ひび割れる	ひびわれる	4
ひょっこり	ひょっこり	3
ひりひり	ひりひり	1
ひんやり	ひんやり	3
びくびく	びくびく	1
ぴちぴち	ぴちぴち	2
ぴったり	ぴったり	3
ぴりぴり	ぴりぴり	1
ふいと	ふいと	0
ふんわり	ふんわり	3
ぶら下げる	ぶらさげる	0
ぶるぶる	ぶるぶる	1
ぷりぷり	ぷりぷり	1
へこたれる	へこたれる	0
へとへと	へとへと	0
へらへら	へらへら	1
べらべら	べらべら	1
ほんのり	ほんのり	3
ぼうっと	ぼうっと	0
ぼけっと	ぼけっと	2
ぼそぼそ	ぼそぼそ	1
ぼやく	ぼやく	2
ぼやける	ぼやける	3
ぼんやり	ぼんやり	3
まごまご	まごまご	1
まつ毛	まつげ	1
まんまと	まんまと	1
みっちり	みっちり	3
むかむか	むかむか	1
むさ苦しい	むさくるしい	5
むずむず	むずむず	1
めそめそ	めそめそ	1
もう	もう	1
もし	もし	1
もしもし	もしもし	1
もたもた	もたもた	1
もっと	もっと	1
やおら	やおら	1
やっと	やっと	0
やや	やや	1
やり直す	やりなおす	4
ゆっくり	ゆっくり	3
ゆったり	ゆったり	3
よろよろ	よろよろ	1
ろ過	ろか	1
わくわく	わくわく	1
わなわな	わなわな	1
アイコン	アイコン	1
アイスクリーム	アイスクリーム	5
アイデア	アイデア	1
アイロニー	アイロニー	1
アウトソーシング	アウトソーシング	4
アカウント	アカウント	2
アカデミック	アカデミック	4
アクセサリー	アクセサリー	1
アジェンダ	アジェンダ	2
アダプター	アダプター	2
アップ	あっぷ	1
アップデート	アップデート	4
アップロード	アップロード	4
アドバイス	アドバイス	3
アナログ	アナログ	0
アナロジー	アナロジー	2
アニメ	アニメ	1
アパート	アパート	2
アピール	アピール	2
アプリケーション	アプリケーション	4
アプローチ	アプローチ	3
アルゴリズム	アルゴリズム	4
アルバイト	アルバイト	3
アンケート	アンケート	1
イデオロギー	イデオロギー	3
イニシアチブ	イニシアチブ	4
イノベーション	イノベーション	3
